OrganizationNumber,OrganizationName,boro_name,Fax,Phone,URL,latitude,longitude,Census Tract,Address1,City,Postcode,focus1,focus2,focus3,focus4,focus5,focus6,focus7,focus8,focus9,focus10,focus11,focus12,focus13,focus14,fofcus15,focus16,focus17,focus18,focus19,focus20,focus21,focus22,focus23
1256,Day Care Council of New York Inc.,QUEENS,2122067836,2122067818,http://www.dccnhinc.org,40.740558,-73.991238,54,12 West 21st Street,New York,10010,Child Care & Parent Information,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
1456,Day Care Council of New York Inc.,STATENIS,2122067836,2122067818,http://www.dccnhinc.org,40.740558,-73.991238,54,12 West 21st Street,New York,10010,Child Care & Parent Information,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
1588,Family and Community Support Services,BROOKLYN,,,,40.674647,-73.930577,309,124 Utica Avenue,Brooklyn,11213,Child Care & Parent Information,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
1817,Day Care Council of New York Inc.,BROOKLYN,2122067836,2122067818,http://www.dccnhinc.org,40.740558,-73.991238,54,12 West 21st Street,New York,10010,Child Care & Parent Information,Counseling & Support Groups,Education,,,,,,,,,,,,,,,,,,,,
413,"Immigrant Social Services, Inc.",MANHATTAN,2125711848,2125711840,http://www.issnyonline.org,40.71333,-73.990827,6,137 Henry Street,New York,10002,Child Care & Parent Information,Counseling & Support Groups,Employment & Job Training,Immigration,,,,,,,,,,,,,,,,,,,
766,YWCA of the City of New York,MANHATTAN,2122236438,2127554500,http://www.ywcanyc.org,,,,Family Resource Center,New York,10019,Child Care & Parent Information,Counseling & Support Groups,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
1397,YWCA of the City of New York,STATENIS,2122236438,2127554500,http://www.ywcanyc.org,,,,Family Resource Center,New York,10019,Child Care & Parent Information,Counseling & Support Groups,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
1682,YWCA of the City of New York,BROOKLYN,2122236438,2127554500,http://www.ywcanyc.org,,,,Family Resource Center,New York,10019,Child Care & Parent Information,Counseling & Support Groups,Employment & Job Training,Youth Services,,,,,,,,,,,,,,,,,,,
384,"Northern Manhattan Perinatal Partnership, Inc",MANHATTAN,2126651842,2126652600,,40.809488,-73.945496,224,"127 West 127th Street, 3rd Floor",New York,10027,Child Care & Parent Information,Counseling & Support Groups,Health,,,,,,,,,,,,,,,,,,,,
267,Jewish Child Care Association,BRONX,2124259397,2124253333,http://www.jccany.org,40.70438,-74.006427,7,120 Wall Street,New York,10005,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
268,Single Mothers by Choice (SMC),BRONX,2129880993,2129880993,http://www.singlemothersbychoice.org,,,,Gracie Square Station,New York,10028,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
445,Single Parent Resource Center,MANHATTAN,,2129517030,http://www.singleparentusa.com,40.752355,-73.972266,90,"228 East 45th Street, 2nd Floor",New York,10017,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
965,Jewish Child Care Association,MANHATTAN,2124259397,2124253333,http://www.jccany.org,40.70438,-74.006427,7,120 Wall Street,New York,10005,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
966,Single Mothers by Choice (SMC),MANHATTAN,2129880993,2129880993,http://www.singlemothersbychoice.org,,,,Gracie Square Station,New York,10028,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1174,"T.O.P.S. FOR YOU, Inc.",QUEENS,7184567068,7188213821,http://www.topsforyou.org,40.696527,-73.909288,439,366 Cornelia Street,Brooklyn,11237,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1369,Jewish Child Care Association,QUEENS,2124259397,2124253333,http://www.jccany.org,40.70438,-74.006427,7,120 Wall Street,New York,10005,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1370,Single Mothers by Choice (SMC),QUEENS,2129880993,2129880993,http://www.singlemothersbychoice.org,,,,Gracie Square Station,New York,10028,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1563,Jewish Child Care Association,STATENIS,2124259397,2124253333,http://www.jccany.org,40.70438,-74.006427,7,120 Wall Street,New York,10005,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1564,Single Mothers by Choice (SMC),STATENIS,2129880993,2129880993,http://www.singlemothersbychoice.org,,,,Gracie Square Station,New York,10028,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1728,"Families First, Inc.",BROOKLYN,7182609402,7182371862,http://www.familiesfirstbrooklyn.org,40.686295,-73.994671,45,250 Baltic Street,Brooklyn,11201,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1735,"T.O.P.S. FOR YOU, Inc.",BROOKLYN,7184567068,7188213821,http://www.topsforyou.org,40.696527,-73.909288,439,366 Cornelia Street,Brooklyn,11237,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1934,Jewish Child Care Association,BROOKLYN,2124259397,2124253333,http://www.jccany.org,40.70438,-74.006427,7,120 Wall Street,New York,10005,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
1935,Single Mothers by Choice (SMC),BROOKLYN,2129880993,2129880993,http://www.singlemothersbychoice.org,,,,Gracie Square Station,New York,10028,Child Care & Parent Information,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
651,Palladia,MANHATTAN,2129790100,2129798800,http://www.palladiainc.org,,,,"10 Astor Pl., 7th Fl.",New York,,Child Care & Parent Information,Disabilities,Education,Employment & Job Training,Health,Homelessness,,,,,,,,,,,,,,,,,
389,"Episcopal Social Services, of New York, Inc.",MANHATTAN,,2128865601,,40.746817,-73.993655,95,"305 7th Avenue, 3rd Flr.",New York,10001,Child Care & Parent Information,Disabilities,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
444,Resources for Children with Special Needs,MANHATTAN,2122544070,2126774650,http://www.resourcesnyc.org/rhome3.php,40.73548,-73.98828,50,"116 East 16th Street, 5th Fl.",New York,10003,Child Care & Parent Information,Disabilities,Youth Services,,,,,,,,,,,,,,,,,,,,
1157,Centers for Progress,QUEENS,,7183803000,http://www.queenscp.org,40.720166,-73.804182,1265,81-15 164th Street,Jamaica,11432,Child Care & Parent Information,Disabilities,Youth Services,,,,,,,,,,,,,,,,,,,,
1009,Queens Parent Resource Center,QUEENS,7185237261,7185236953,http://www.qprc.net,40.70815,-73.796611,44602,88-50 165 Street,Jamaica,11432,Child Care & Parent Information,Disabilities,,,,,,,,,,,,,,,,,,,,,
189,Baby Buggy,BRONX,,2127361130,http://www.babybuggy.org,40.754318,-73.99263,111,306 West 37th Street,NY,10018,Child Care & Parent Information,Domestic Violence,Health,Homelessness,Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,
888,Baby Buggy,MANHATTAN,,2127361130,http://www.babybuggy.org,40.754318,-73.99263,111,306 West 37th Street,NY,10018,Child Care & Parent Information,Domestic Violence,Health,Homelessness,Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,
1294,Baby Buggy,QUEENS,,2127361130,http://www.babybuggy.org,40.754318,-73.99263,111,306 West 37th Street,NY,10018,Child Care & Parent Information,Domestic Violence,Health,Homelessness,Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,
1490,Baby Buggy,STATENIS,,2127361130,http://www.babybuggy.org,40.754318,-73.99263,111,306 West 37th Street,NY,10018,Child Care & Parent Information,Domestic Violence,Health,Homelessness,Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,
1856,Baby Buggy,BROOKLYN,,2127361130,http://www.babybuggy.org,40.754318,-73.99263,111,306 West 37th Street,NY,10018,Child Care & Parent Information,Domestic Violence,Health,Homelessness,Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,
121,Agency for Women and Children Development Inc,BRONX,,7183675437,http://www.awcd.org,40.748208,-73.992663,95,"352 7th Ave, Suite 434",New York,10001,Child Care & Parent Information,Domestic Violence,Health,,,,,,,,,,,,,,,,,,,,
820,Agency for Women and Children Development Inc,MANHATTAN,,7183675437,http://www.awcd.org,40.748208,-73.992663,95,"352 7th Ave, Suite 434",New York,10001,Child Care & Parent Information,Domestic Violence,Health,,,,,,,,,,,,,,,,,,,,
1228,Agency for Women and Children Development Inc,QUEENS,,7183675437,http://www.awcd.org,40.748208,-73.992663,95,"352 7th Ave, Suite 434",New York,10001,Child Care & Parent Information,Domestic Violence,Health,,,,,,,,,,,,,,,,,,,,
1430,Agency for Women and Children Development Inc,STATENIS,,7183675437,http://www.awcd.org,40.748208,-73.992663,95,"352 7th Ave, Suite 434",New York,10001,Child Care & Parent Information,Domestic Violence,Health,,,,,,,,,,,,,,,,,,,,
1788,Agency for Women and Children Development Inc,BROOKLYN,,7183675437,http://www.awcd.org,40.748208,-73.992663,95,"352 7th Ave, Suite 434",New York,10001,Child Care & Parent Information,Domestic Violence,Health,,,,,,,,,,,,,,,,,,,,
1712,La Leche League of Marine Park/Madison,BROOKLYN,,7183393806,http://llli.org,,,,,Brooklyn,11229,Child Care & Parent Information,Education,Health,,,,,,,,,,,,,,,,,,,,
126,Graham Windham,BRONX,2122535829,2125296445,http://www.graham-windham.org,40.735203,-73.987898,50,33 Irving Place,New York,10003,Child Care & Parent Information,Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,,,,
825,Graham Windham,MANHATTAN,2122535829,2125296445,http://www.graham-windham.org,40.735203,-73.987898,50,33 Irving Place,New York,10003,Child Care & Parent Information,Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,,,,
1400,Graham Windham,STATENIS,2122535829,2125296445,http://www.graham-windham.org,40.735203,-73.987898,50,33 Irving Place,New York,10003,Child Care & Parent Information,Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,,,,
1793,Graham Windham,BROOKLYN,2122535829,2125296445,http://www.graham-windham.org,40.735203,-73.987898,50,33 Irving Place,New York,10003,Child Care & Parent Information,Education,Victim Services,Youth Services,,,,,,,,,,,,,,,,,,,
181,NYC Department of Education,BRONX,,2126399675,http://schools.nyc.gov/default.htm,,,,,New York,,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
880,NYC Department of Education,MANHATTAN,,2126399675,http://schools.nyc.gov/default.htm,,,,,New York,,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
1286,NYC Department of Education,QUEENS,,2126399675,http://schools.nyc.gov/default.htm,,,,,New York,,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
1483,NYC Department of Education,STATENIS,,2126399675,http://schools.nyc.gov/default.htm,,,,,New York,,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
1848,NYC Department of Education,BROOKLYN,,2126399675,http://schools.nyc.gov/default.htm,,,,,New York,,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
3,Child Development Center of the Mosholu Montefiore Community Center,BRONX,,7188824000,,40.881486,-73.881226,421,3450 DeKalb Avenue,Bronx,10467,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
33,"Adolescent and Family Comprehensive Services, Inc.",BRONX,,7182992327,,40.851686,-73.911487,217,46-67 W Tremont Avenue,Bronx,10453,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
45,"Round-The-Clock Nursery, Inc.",BRONX,2126940713,2126940615,http://www.roudntheclocknursery.org,40.813442,-73.948979,215,301B W. 130th Street,New York,10027,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
779,"Round-The-Clock Nursery, Inc.",MANHATTAN,2126940713,2126940615,http://www.roudntheclocknursery.org,40.813442,-73.948979,215,301B W. 130th Street,New York,10027,Child Care & Parent Information,Education,Youth Services,,,,,,,,,,,,,,,,,,,,
153,NYC Department of Transportation - Office of Safety Education,BRONX,2124878346,2128392200,http://nyc.gov/dot,,,,,New York,10038,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
852,NYC Department of Transportation - Office of Safety Education,MANHATTAN,2124878346,2128392200,http://nyc.gov/dot,,,,,New York,10038,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1259,NYC Department of Transportation - Office of Safety Education,QUEENS,2124878346,2128392200,http://nyc.gov/dot,,,,,New York,10038,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1459,NYC Department of Transportation - Office of Safety Education,STATENIS,2124878346,2128392200,http://nyc.gov/dot,,,,,New York,10038,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1820,NYC Department of Transportation - Office of Safety Education,BROOKLYN,2124878346,2128392200,http://nyc.gov/dot,,,,,New York,10038,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
44,"Tolentine-Zeiser Community Life Center, Inc",BRONX,,7189333305,http://www.tzclc.org/,40.861503,-73.906077,255,2345 UNIVERSITY AVENUE,Bronx,10468,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
185,Young Mothers Program/BBBS,BRONX,2127791221,2126862042,http://www.bigsnyc.org,40.742923,-73.979253,70,223 E 30th Street,New York City,10016,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
691,"East Harlem Block Nursery, Inc.",MANHATTAN,2123680519,2127226350,http://www.ehbn.org,40.791312,-73.944041,170,215 East 106th Street,New York,10029,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
884,Young Mothers Program/BBBS,MANHATTAN,2127791221,2126862042,http://www.bigsnyc.org,40.742923,-73.979253,70,223 E 30th Street,New York City,10016,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1044,"Amistad Early Childhood Educational Center, Inc.",QUEENS,7185261527,7182623221,,40.693627,-73.786987,264,110-15 164th Place,Jamaica,11433,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1290,Young Mothers Program/BBBS,QUEENS,2127791221,2126862042,http://www.bigsnyc.org,40.742923,-73.979253,70,223 E 30th Street,New York City,10016,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1386,"United Activities Unlimited, Inc.",STATENIS,,7184484834,,40.567873,-74.115373,134,485 Clawson Street,Staten Island,10306,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1486,Young Mothers Program/BBBS,STATENIS,2127791221,2126862042,http://www.bigsnyc.org,40.742923,-73.979253,70,223 E 30th Street,New York City,10016,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1621,"American Mothers, Inc.",BROOKLYN,,2127552539,http://www.americanmothers.org,40.647133,-73.959402,51001,296 E 21st Street,Brooklyn,11210,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1636,"Bushwick Community Action Association, Inc.",BROOKLYN,,7185740130,,40.689834,-73.904137,409,272 Moffat Street,Brooklyn,11207,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1654,"Catholic Charities Neighborhood Services, Inc.",BROOKLYN,,7187226023,,40.692671,-73.991785,9,191 Joralemon Street,Brooklyn,11201,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1686,"United Community Day Care Center, Inc",BROOKLYN,,7183851201,,40.664728,-73.886561,1124,613 New Lots Avenue,Brooklyn,11207,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1700,"Yeled V'Yalda Early Childhood Center, Inc.",BROOKLYN,,7186863700,,40.639923,-73.978983,486,571 McDonald Ave,Brooklyn,11218,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
1852,Young Mothers Program/BBBS,BROOKLYN,2127791221,2126862042,http://www.bigsnyc.org,40.742923,-73.979253,70,223 E 30th Street,New York City,10016,Child Care & Parent Information,Education,,,,,,,,,,,,,,,,,,,,,
459,Postgraduate Center for Mental Health,MANHATTAN,,2125764198,http://www.pgcmh.org/,40.741238,-73.982974,68,138 East 26th Street,New York,10010,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
524,Cornell Cooperative Extension,MANHATTAN,2123402908,2123402995,http://nyc.cce.cornell.edu,40.748147,-73.983889,74,"16 East 34 Street, 8th Floor",New York,10016,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
600,NARAL Pro-Choice New York,MANHATTAN,2123430119,2123430114,http://www.prochoiceny.org/about/,40.745492,-73.982515,74,470 Park Avenue South,New York,10016,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
618,The Northern Manhattan Perinatal Partnership Inc.,MANHATTAN,,3476238445,,40.809488,-73.945496,224,127 West 127th Street,New York,10027,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
1142,New York Families for Autistic Children,QUEENS,,7186413441,http://www.nyfac.org,,,,95-16 Pitkin Avenue,Ozone Park,,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
1604,United Community Centers,BROOKLYN,7186497256,7186497979,http://www.ucceny.org,40.664728,-73.886561,1124,613 New Lots Avenue,Brooklyn,11207,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
1695,Wyckoff Heights Medical Center - Prenatal,BROOKLYN,7182082498,7189636502,http://www.wyckoffhospital.org/body.cfm?id=108,,,,374 Stockholm St.,Brooklyn,,Child Care & Parent Information,Health,,,,,,,,,,,,,,,,,,,,,
1029,Hour Children,QUEENS,7184334728,7184334724,http://www.hourchildren.org,40.760503,-73.93932,43,36-11A 12 Street,Long Island City,11106,Child Care & Parent Information,Housing,,,,,,,,,,,,,,,,,,,,,
1615,Polish & Slavic Center,BROOKLYN,7183835159,7183835290,http://polishslaviccenter.org,,,,,Brooklyn,11222,Child Care & Parent Information,Immigration,Legal Services,,,,,,,,,,,,,,,,,,,,
1010,Queens Comprehensive Perinatal Council (QCPC),QUEENS,7186580719,7182064357,,40.698984,-73.793025,254,106-46 Guy R. Brewer  Blvd.,Jamaica,11433,Child Care & Parent Information,Immigration,,,,,,,,,,,,,,,,,,,,,
10,"Claremont Neighborhood Centers, Inc.",BRONX,,7185881000,http://www.claremontcenter.org/,40.832965,-73.905669,14701,489 East 169th Street,Bronx,10456,Child Care & Parent Information,Youth Services,,,,,,,,,,,,,,,,,,,,,
1171,MercyFirst,QUEENS,,7182321500,http://www.mercyfirst.org/,,,,525 Convent Road,Syosset,11791,Child Care & Parent Information,Youth Services,,,,,,,,,,,,,,,,,,,,,
1641,"Providence House, Inc.",BROOKLYN,7184550692,7184550197,http://www.providencehouse.org,,,,P.O. Box  210529,Brooklyn,11221,Child Care & Parent Information,Youth Services,,,,,,,,,,,,,,,,,,,,,
1709,MercyFirst,BROOKLYN,,7182321500,http://www.mercyfirst.org/,,,,525 Convent Road,Syosset,11791,Child Care & Parent Information,Youth Services,,,,,,,,,,,,,,,,,,,,,
14,East Bronx NAACP Day Care Center,BRONX,,7186172900,,40.82629,-73.881509,52,1113 Colgate Avenue,Bronx,10472,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
54,"Little Shepherds Community Services, Inc.",BRONX,,7182952277,,40.86065,-73.908052,255,2260 Andrews Avenue North,Bronx,10468,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
96,Oasis Community Corporation,BRONX,6468623207,6465195050,http://.www.oasiskids.org,40.704313,-73.986587,21,20 Jay Street,Brooklyn,11201,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
272,Center for Children's Initiatives,BRONX,2129295785,2129297604,http://www.centerforchildrensinitiatives.org,40.747294,-73.997023,95,322 Eighth Ave,New York,10001,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
317,Child Care Action Campaign,MANHATTAN,2122686515,2122390138,,,,,"330 Seventh Ave., 14th Fl.",New York,,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
578,Lutheran Social Services of New York,MANHATTAN,2128701101,2128701100,http://www.lssny.org/,,,,"475 Riverside Drive, Suite 1244",New York,,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
715,Lower East Side Family Union,MANHATTAN,2125293244,2122600040,http://www.lesfu.org/,40.721537,-73.988737,3001,84 Stanton Street,New York,10002,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
796,Oasis Community Corporation,MANHATTAN,6468623207,6465195050,http://.www.oasiskids.org,40.704313,-73.986587,21,20 Jay Street,Brooklyn,11201,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
970,Center for Children's Initiatives,MANHATTAN,2129295785,2129297604,http://www.centerforchildrensinitiatives.org,40.747294,-73.997023,95,322 Eighth Ave,New York,10001,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
986,Malcolm X Day Care Center,QUEENS,7186517412,7186517880,,,,,111-12 Northern Blvd.,Corona,,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1042,Alpha Kappa Alpha - Epsilon Pi Omega Day Care Center,QUEENS,7183227139,7183226242,http://www.akaepsilonpiomega.org/content/view/17/33/,40.673735,-73.794538,790,144-06 Rockaway Blvd.,South Ozone Park,11436,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1067,All My Children Day Care Center,QUEENS,7186587990,7186581563,,40.716221,-73.789783,458,175-44 Mayfield Road,Jamaica,11432,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1082,Quality Services for the Autism Community,QUEENS,7182047570,7187288476,http://qsac.com,40.763702,-73.916265,63,30-10 38 Street,Astoria,11103,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1084,Family Focus Adoption Services,QUEENS,,7182241919,http://familyfocusadoption.org/,40.766084,-73.725132,150702,"54-40 Little Neck Parkway, Suite 4",Little Neck,11362,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1106,Bridge to Life,QUEENS,7184631813,7184631810,http://www.thebridgetolife.org/,,,,129-20A  18th Avenue,College Point,,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1118,On Our Way Learning Center,QUEENS,7188681296,7188682961,http://www.onourwaylc.org/,,,,264 Beath 19th St.,Far Rockaway,,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1184,Lower East Side Family Union,QUEENS,2125293244,2122600040,http://www.lesfu.org/,40.721537,-73.988737,3001,84 Stanton Street,New York,10002,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1206,Oasis Community Corporation,QUEENS,6468623207,6465195050,http://.www.oasiskids.org,40.704313,-73.986587,21,20 Jay Street,Brooklyn,11201,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1374,Center for Children's Initiatives,QUEENS,2129295785,2129297604,http://www.centerforchildrensinitiatives.org,40.747294,-73.997023,95,322 Eighth Ave,New York,10001,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1567,Center for Children's Initiatives,STATENIS,2129295785,2129297604,http://www.centerforchildrensinitiatives.org,40.747294,-73.997023,95,322 Eighth Ave,New York,10001,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1576,"Flatbush Action Community Day Care Center, Inc.",BROOKLYN,,7186939891,,40.655937,-73.955515,802,525 Parkside Avenue,Brooklyn,11226,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1589,Big Five Block Association Inc.,BROOKLYN,,7187748203,,40.66771,-73.957331,325,995 Carroll Street,Brooklyn,11225,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1612,Friends of Crown Heights Educational Center,BROOKLYN,,7186388686,,40.674695,-73.954594,221,671 Prospect Place,Brooklyn,11216,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1616,George C. Conliffe Child Care Center,BROOKLYN,,7187781498,,40.673175,-73.929039,347,1435 Prospect Place,Brooklyn,11213,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1661,Hispanic Employment Day-Women Working For A Better Community,BROOKLYN,,7184553988,,40.69537,-73.917486,417,195 Linden Street,Brooklyn,11221,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1673,Haitian American Day Care Center,BROOKLYN,,7187560253,,40.671739,-73.954672,219,1491 Bedford Avenue,Brooklyn,11216,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1677,Faith Hope and Charity,BROOKLYN,,7183423700,,40.66168,-73.893433,1128,370 New Lots Avenue,Brooklyn,11207,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1763,Oasis Community Corporation,BROOKLYN,6468623207,6465195050,http://.www.oasiskids.org,40.704313,-73.986587,21,20 Jay Street,Brooklyn,11201,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1939,Center for Children's Initiatives,BROOKLYN,2129295785,2129297604,http://www.centerforchildrensinitiatives.org,40.747294,-73.997023,95,322 Eighth Ave,New York,10001,Child Care & Parent Information,,,,,,,,,,,,,,,,,,,,,,
1066,Korean Family Counseling and Research Center,QUEENS,7183210554,7183212400,http://www.kfccny.org,40.763529,-73.803542,1171,35-71 162 Street,Flushing,11358,Community Service & Volunteerism,Counseling & Support Groups,Domestic Violence,Health,Legal Services,Victim Services,Youth Services,,,,,,,,,,,,,,,,
1088,Turning Point,QUEENS,7188839449,7188839400,http://www.turningpoint-ny.org/,,,,,flushing,,Community Service & Volunteerism,Counseling & Support Groups,Domestic Violence,Immigration,Legal Services,Youth Services,,,,,,,,,,,,,,,,,
1590,Red Hook Initiative,BROOKLYN,,7188586782,http://www.rhicenter.org,40.676803,-74.004705,59,767 Hicks Street,Brooklyn,11231,Community Service & Volunteerism,Counseling & Support Groups,Education,Employment & Job Training,Health,Youth Services,,,,,,,,,,,,,,,,,
1385,"Community Health Action of Staten Island, Inc.",STATENIS,7188081390,7188081300,http://www.chasiny.org,40.640624,-74.075704,3,"56 Bay Street, 4th Floor",Staten Island,10301,Community Service & Volunteerism,Counseling & Support Groups,Education,Health,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Youth Services,,,,,,,,,,,,,,,,
323,Chai Lifeline,MANHATTAN,,8772424543,http://www.chailifeline.org,,,,151 West 30th Street,New York,,Community Service & Volunteerism,Counseling & Support Groups,Education,Health,Youth Services,,,,,,,,,,,,,,,,,,
306,American Friends Service Committee - Conflict Resolution Program,MANHATTAN,2125294603,2125980950,http://www.afsc.org/nymetro,,,,15 Rutherford Place,New York,,Community Service & Volunteerism,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
478,Hudson Guild,MANHATTAN,,2127609800,,40.749196,-74.001815,97,441 West 26th Street,New York,10001,Community Service & Volunteerism,Counseling & Support Groups,,,,,,,,,,,,,,,,,,,,,
110,The New York Women's Foundation,BRONX,2125647386,2122614586,http://www.nywf.org,40.753212,-73.997979,103,"434 W. 33rd Street, 8th Floor",New York,10001,Community Service & Volunteerism,Domestic Violence,Education,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,
810,The New York Women's Foundation,MANHATTAN,2125647386,2122614586,http://www.nywf.org,40.753212,-73.997979,103,"434 W. 33rd Street, 8th Floor",New York,10001,Community Service & Volunteerism,Domestic Violence,Education,Health,Homelessness,Immigration,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Victim Services,Youth Services,,,,,,,,,,,,,
